date,day_start,day_end,pnl,trades
2025-11-26,200.00,200.00,0.00,0
2025-11-27,200.00,200.00,0.00,0
2025-11-28,200.00,200.00,0.00,0
2025-11-29,200.00,200.00,0.00,0
2025-11-30,200.00,200.00,0.00,0
2025-12-01,200.00,199.53,-0.47,1
2025-12-02,199.53,183.80,-15.73,1
2025-12-03,200.00,200.00,0.00,0
2025-12-04,200.00,200.00,0.00,0
